City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,talnakh,69.4865,88.3972,29.435000000000002,47,24,7.76,RU,1720326954
150,gualan,15.1333,-89.3667,29.711000000000002,98,100,0.48,GT,1720326956
151,sao vicente,-23.9631,-46.3919,29.425,89,97,2.13,BR,1720326958
152,naze,28.3667,129.4833,30.366000000000003,72,4,3.71,JP,1720326960
153,qui nhon,13.7667,109.2333,30.201,73,79,4.73,VN,1720326707
154,iqaluit,63.7506,-68.5145,27.8,86,75,1.54,CA,1720326779
155,gelemso,8.8167,40.5167,29.18,74,80,3.19,ET,1720326965
156,kourou,5.1552,-52.6478,29.818,91,100,2.89,GF,1720326967
157,colby,39.3958,-101.0524,29.148000000000003,80,0,2.06,US,1720326968
158,badger,64.8,-147.5333,28.329,90,100,5.66,US,1720326970
159,shijiazhuang,38.0414,114.4786,30.307,47,100,1.91,CN,1720326971
160,ilhabela,-23.7781,-45.3581,29.22,90,38,1.36,BR,1720326973
161,boden,65.8252,21.6886,28.657999999999998,78,29,2.94,SE,1720326890
162,el granada,37.5027,-122.4694,29.660000000000004,82,20,8.75,US,1720326976
163,amuntai,-2.4177,115.2494,30.268,72,76,1.18,ID,1720326978
164,weno,7.4515,151.8468,30.212,84,100,3.09,FM,1720326979
165,san pedro del parana,-26.8333,-56.2,28.224,98,96,2.55,PY,1720326981
166,college,64.8569,-147.8028,28.333,89,100,5.66,US,1720326983
167,fedorovskiy,45.0972,40.9517,29.825,62,100,3.23,RU,1720326984
168,kurumkan,54.3,110.3,30.48,39,15,1.68,RU,1720326986
169,quellon,-43.1167,-73.6167,27.948,88,86,2.61,CL,1720326987
170,nellore,14.4333,79.9667,30.497000000000003,50,100,6.51,IN,1720326989
171,bilibino,68.0546,166.4372,28.108999999999998,87,100,1.96,RU,1720326990
172,birsk,55.4211,55.5428,29.716,70,11,1.22,RU,1720326992
173,saurimo,-9.6608,20.3916,28.363999999999997,36,15,2.18,AO,1720326918
174,tafresh,34.692,50.013,29.738,21,72,6.46,IR,1720326995
175,camocim,-2.9022,-40.8411,29.661,92,70,4.19,BR,1720326997
176,saint-philippe,-21.3585,55.7679,29.392000000000003,71,1,2.35,RE,1720326998
177,koumra,8.9126,17.5539,29.585,85,100,0.34,TD,1720327000
178,ancud,-41.8697,-73.8203,27.938,90,75,1.92,CL,1720327001
179,shepetivka,50.1855,27.0637,29.122000000000003,66,54,5.6,UA,1720327003
180,stanley,54.868,-1.6985,28.331,93,0,2.06,GB,1720327004
181,east ballina,-28.8667,153.5833,29.193,71,85,3.99,AU,1720327006
182,tete,-16.1564,33.5867,28.32,81,0,0.0,MZ,1720326871
183,vadso,70.0744,29.7487,28.863999999999997,72,20,4.12,NO,1720327010
184,thunder bay,48.4001,-89.3168,29.014,88,40,0.0,CA,1720327011
185,luderitz,-26.6481,15.1594,28.698,90,77,8.57,NA,1720326880
186,kuala belait,4.5833,114.1833,30.424,63,61,2.85,BN,1720327017
187,bandarbeyla,9.4942,50.8122,30.125,61,33,13.65,SO,1720327019
188,conception bay south,47.4999,-52.9981,28.873,88,100,4.72,CA,1720327020
189,punta arenas,-53.15,-70.9167,27.121,93,75,4.12,CL,1720327022
190,jeju city,33.5097,126.5219,30.411,70,0,5.66,KR,1720326815
191,changleng,28.7,115.8167,30.806,54,11,5.82,CN,1720327025
192,port alfred,-33.5906,26.891,28.872000000000003,30,76,4.89,ZA,1720327027
193,newman,37.3138,-121.0208,30.718,61,0,0.89,US,1720327029
194,veraval,20.9,70.3667,30.261000000000003,80,100,8.36,IN,1720326911
195,oliver,49.1831,-119.5524,30.195,36,0,1.03,CA,1720327032
196,san luis de la loma,17.2706,-100.8939,29.943,84,26,2.4,MX,1720327033
197,buddh gaya,24.7,84.9833,30.508999999999997,74,40,2.06,IN,1720326969
198,san juan,-31.5375,-68.5364,27.819,44,0,3.51,AR,1720326803
199,sept-iles,50.2001,-66.3821,28.929000000000002,89,40,1.54,CA,1720326870
200,massawa,15.6097,39.45,30.776999999999997,49,26,1.78,ER,1720326767
201,gizo,-8.103,156.8419,30.018,80,100,6.49,SB,1720327043
202,mount isa,-20.7333,139.5,30.201999999999998,42,4,5.14,AU,1720326786
